"region","age","mean_zscore"
"EAM",1450,1.98958573350485
"EAM",1550,2.03592353201125
"EAM",1650,1.84863472857497
"EAM",1750,1.5501450578457
"EAM",1850,1.42232496081699
"EAM",1950,1.55751639624735
"EAM",2050,1.56738260053781
"EAM",2150,1.75628065583059
"EAM",2250,1.54923131301012
"EAM",2350,1.59233600878974
"EAM",2450,1.41832765731714
"EAM",2550,1.42243987439708
"EAM",2650,1.28413014042029
"EAM",2750,1.58050909920284
"EAM",2850,1.16853786250182
"EAM",2950,1.14312091695098
"EAM",3050,0.81270863847328
"EAM",3150,0.898502875809041
"EAM",3250,0.873339400938874
"EAM",3350,0.603497918029413
"EAM",3450,0.501464027954792
"EAM",3550,0.710476043399294
"EAM",3650,0.547487960592957
"EAM",3750,0.280221486432631
"EAM",3850,-0.134282692384877
"EAM",3950,0.0179814239956633
"EAM",4050,0.0322519007186756
"EAM",4150,0.0493359585415891
"EAM",4250,-0.0995954583712791
"EAM",4350,-0.27410572584511
"EAM",4450,-0.30703609524118
"EAM",4550,-0.556586712063971
"EAM",4650,-0.535307633092119
"EAM",4750,-0.682995623035101
"EAM",4850,-0.703276841521459
"EAM",4950,-0.433179817416237
"EAM",5050,-0.744003229392962
"EAM",5150,-0.975224974588579
"EAM",5250,-0.942175146051581
"EAM",5350,-1.25041853579441
"EAM",5450,-1.12046115232889
"EAM",5550,-1.29826178398077
"EAM",5650,-1.31282343213859
"EAM",5750,-1.48671421799476
"EAM",5850,-1.49292979141662
"EAM",5950,-1.44186242108392
"EAM",6050,-1.45849099929462
"EAM",6150,-1.66704015126692
"EAM",6250,-1.7358899105778
"EAM",6350,-2.0434595711423
"EAM",6450,-2.19153326396346
"EAM",6550,-1.77831334667374
"EAM",6650,-2.12021874808956
"EAM",6750,-2.05385854616891
"EAM",6850,-2.25989332021562
"EAM",6950,-2.52444694087953
"EAM",7050,-2.35512256358706
"EAM",7150,-2.68496580481221
"EAM",7250,-2.65942680048482
"EAM",7350,-2.58918612995232
"EAM",7450,-2.57852217147908
"EAM",7550,-2.83195025661179
"EAM",7650,-2.58315647629227
"EAM",7750,-2.86278789780323
"EAM",7850,-2.62222377367298
"EAM",7950,-2.46847032502733
