"region","win_end","med","Q1","Q3","age"
"CAM",3750,0.128578845532337,0.0659993216546567,0.311982304764348,3700
"CAM",3800,0.104737041793175,0.0852977193917861,0.162500316409481,3750
"CAM",3850,0.020458469676578,-0.00968324399913383,0.0534768222106017,3800
"CAM",3900,-0.0146309015909901,-0.0414842128037603,0.024608864090871,3850
"CAM",3950,0.0273874927350087,-0.0130260199321522,0.0951000055439671,3900
"CAM",4000,0.0180705397788424,0.00155821949926094,0.142797640201214,3950
"CAM",4050,0.0681491823950683,-0.0509945600523317,0.115850509788541,4000
"CAM",4100,-0.000444046260415609,-0.0349039164897561,0.0100204842505751,4050
"CAM",4150,0.00274448523903037,-0.117345711534049,0.0311486547936295,4100
"CAM",4200,-0.0375443687182942,-0.0688025051229918,0.0109643896543487,4150
